"Crosby, Sidney",F,PIT,80,36,68,104,1.3,18,46,47,28,11,27,0,0,5,259,0.139
"Getzlaf, Ryan",F,ANA,77,31,56,87,1.12987013,28,31,110,87,5,18,0,0,7,204,0.152
"Giroux, Claude",F,PHI,82,28,58,86,1.048780488,7,46,90,46,7,30,0,0,7,223,0.126
"Seguin, Tyler",F,DAL,80,37,47,84,1.05,16,18,48,24,11,14,0,0,8,294,0.126
"Perry, Corey",F,ANA,81,43,39,82,1.012345679,32,65,81,28,8,10,0,0,9,280,0.154
"Kessel, Phil",F,TOR,82,37,43,80,0.975609756,-5,27,25,30,8,12,0,0,6,305,0.121
"Hall, Taylor",F,EDM,75,27,53,80,1.066666667,-15,44,54,41,7,10,0,1,1,250,0.108
"Backstrom, Nicklas",F,WAS,82,18,61,79,0.963414634,-20,54,89,54,6,38,1,0,1,196,0.092
"Pavelski, Joe",F,SJS,82,41,38,79,0.963414634,23,32,47,68,16,15,1,1,3,225,0.182
"Ovechkin, Alex",F,WAS,78,51,28,79,1.012820513,-35,48,204,22,24,15,0,1,10,386,0.132
"Benn, Jamie",F,DAL,81,34,45,79,0.975308642,21,64,118,60,5,14,1,2,3,279,0.122
"Sharp, Patrick",F,CHI,82,34,44,78,0.951219512,13,40,55,27,10,15,0,0,3,313,0.109
"Thornton, Joe",F,SJS,82,11,65,76,0.926829268,20,32,54,34,2,17,0,1,3,122,0.09
"Karlsson, Erik",D,OTT,82,20,54,74,0.902439024,-15,36,122,101,5,26,0,0,1,257,0.078
"Malkin, Evgeni",F,PIT,60,23,49,72,1.2,10,62,27,18,7,23,0,0,3,191,0.12
"Kopitar, Anze",F,LAK,82,29,41,70,0.853658537,34,24,90,44,10,13,0,0,9,200,0.145
"Marleau, Patrick",F,SJS,82,33,37,70,0.853658537,0,18,85,29,11,12,2,0,4,285,0.116
"Duchene, Matt",F,COL,71,23,47,70,0.985915493,8,19,53,44,5,12,0,0,6,217,0.106
"Krejci, David",F,BOS,80,19,50,69,0.8625,39,28,75,56,3,16,0,0,6,169,0.112
"Kane, Patrick",F,CHI,69,29,40,69,1,7,22,16,15,10,15,0,0,6,227,0.128
"St. Louis, Martin",F,TBL,81,30,39,69,0.851851852,13,10,24,38,9,12,1,1,5,204,0.147
"Wheeler, Blake",F,WPG,82,28,41,69,0.841463415,4,63,150,68,8,11,0,0,4,225,0.124
"Okposo, Kyle",F,NYI,71,27,42,69,0.971830986,-9,51,43,35,5,10,0,0,4,195,0.138
"Toews, Jonathan",F,CHI,76,28,40,68,0.894736842,26,34,29,20,5,10,3,2,5,193,0.145
"Vanek, Thomas",F,BUF,78,27,41,68,0.871794872,7,46,30,17,8,10,0,0,4,248,0.109
"Kunitz, Chris",F,PIT,78,35,33,68,0.871794872,25,66,157,25,13,9,0,0,8,218,0.161
"Jagr, Jaromir",F,NJD,82,24,43,67,0.817073171,16,46,4,9,5,12,0,0,6,231,0.104
"Tavares, John",F,NYI,59,24,42,66,1.118644068,-6,40,23,19,8,17,0,0,4,188,0.128
"Spezza, Jason",F,OTT,75,23,43,66,0.88,-26,46,17,26,9,13,0,0,5,223,0.103
"Landeskog, Gabriel",F,COL,81,26,39,65,0.802469136,21,71,176,52,5,5,0,0,4,222,0.117
"Eberle, Jordan",F,EDM,80,28,37,65,0.8125,-11,18,51,40,7,13,1,0,4,200,0.14
"Little, Bryan",F,WPG,82,23,41,64,0.780487805,8,58,84,38,8,7,2,2,1,170,0.135
"O'Reilly, Ryan",F,COL,80,28,36,64,0.8,-1,2,22,43,9,13,0,0,6,201,0.139
"Johansen, Ryan",F,CLB,82,33,30,63,0.768292683,3,43,114,39,7,13,0,0,5,237,0.139
"MacKinnon, Nathan",F,COL,82,24,39,63,0.768292683,20,26,57,45,8,9,0,0,5,241,0.1
"Steen, Alexander",F,STL,68,33,29,62,0.911764706,17,46,43,28,7,10,1,2,9,211,0.156
"Bergeron, Patrice",F,BOS,80,30,32,62,0.775,38,43,52,57,7,4,1,3,7,243,0.123
"Voracek, Jakub",F,PHI,82,23,39,62,0.756097561,11,22,19,20,8,15,0,0,2,235,0.098
"Staal, Eric",F,CAR,79,21,40,61,0.772151899,-13,74,67,28,1,11,2,2,0,230,0.091
"Neal, James",F,PIT,59,27,34,61,1.033898305,15,55,58,23,11,15,0,0,4,238,0.113
"Van Riemsdyk, James",F,TOR,80,30,31,61,0.7625,-9,50,118,29,9,6,2,2,3,279,0.108
"Iginla, Jarome",F,BOS,78,30,31,61,0.782051282,34,47,142,27,4,10,0,0,8,209,0.144
"Keith, Duncan",D,CHI,79,6,55,61,0.772151899,22,28,36,89,3,18,0,1,3,198,0.03
"Pacioretty, Max",F,MTL,73,39,21,60,0.821917808,8,35,69,33,10,7,1,0,11,270,0.144
"Stastny, Paul",F,COL,71,25,35,60,0.845070423,9,22,54,46,4,11,0,1,4,150,0.167
"Pominville, Jason",F,MIN,82,30,30,60,0.731707317,3,16,23,31,7,10,0,0,5,226,0.133
"Hossa, Marian",F,CHI,72,30,30,60,0.833333333,28,20,43,26,4,9,3,1,4,241,0.124
"Simmonds, Wayne",F,PHI,82,29,31,60,0.731707317,-4,106,132,35,15,9,0,0,4,209,0.139
"Oshie, T.J.",F,STL,79,21,39,60,0.759493671,19,42,77,54,5,10,2,1,5,152,0.138
"Zuccarello, Mats",F,NYR,77,19,40,59,0.766233766,11,32,116,41,4,13,1,0,4,170,0.112
"Palat, Ondrej",F,TBL,81,23,36,59,0.728395062,32,20,146,64,3,8,2,2,3,165,0.139
"Lucic, Milan",F,BOS,80,24,35,59,0.7375,30,91,240,22,3,9,0,0,5,153,0.157
"Turris, Kyle",F,OTT,82,26,32,58,0.707317073,22,39,45,33,6,8,2,1,5,215,0.121
"Filppula, Valtteri",F,TBL,75,25,33,58,0.773333333,5,20,33,33,6,14,0,0,2,131,0.191
"Nielsen, Frans",F,NYI,80,25,33,58,0.725,-11,8,39,47,5,15,2,1,0,167,0.15
"Backes, David",F,STL,74,27,30,57,0.77027027,14,119,273,56,10,6,0,0,5,165,0.164
"Jokinen, Jussi",F,PIT,81,21,36,57,0.703703704,12,18,34,31,6,15,0,0,4,172,0.122
"Stepan, Derek",F,NYR,82,17,40,57,0.695121951,12,18,30,46,5,13,0,3,2,199,0.085
"Perron, David",F,EDM,78,28,29,57,0.730769231,-16,90,116,20,8,5,1,0,2,220,0.127
"Schwartz, Jaden",F,STL,80,25,31,56,0.7,28,27,54,32,5,5,3,0,1,188,0.133
"Parise, Zach",F,MIN,67,29,27,56,0.835820896,10,30,70,45,14,6,1,0,5,245,0.118
"Nugent-Hopkins, Ryan",F,EDM,80,19,37,56,0.7,-12,26,72,35,6,14,0,0,4,178,0.107
"Byfuglien, Dustin",D,WPG,78,20,36,56,0.717948718,-20,86,213,80,8,18,0,0,1,256,0.078
"Weber, Shea",D,NAS,79,23,33,56,0.70886076,-2,52,169,173,12,14,0,0,4,195,0.118
"MacArthur, Clarke",F,OTT,79,24,31,55,0.696202532,12,78,108,20,8,7,1,2,5,159,0.151
"Hedman, Victor",D,TBL,75,13,42,55,0.733333333,5,53,86,101,3,11,0,6,2,170,0.076
"Hudler, Jiri",F,CGY,75,17,37,54,0.72,4,16,35,15,2,11,0,0,1,109,0.156
"Couture, Logan",F,SJS,65,23,31,54,0.830769231,21,20,16,68,4,9,2,2,6,233,0.099
"Skinner, Jeff",F,CAR,71,33,21,54,0.76056338,-14,22,22,8,11,9,0,0,6,274,0.12
"Koivu, Mikko",F,MIN,65,11,43,54,0.830769231,0,24,33,32,2,16,0,2,4,147,0.075
"Ladd, Andrew",F,WPG,78,23,31,54,0.692307692,8,57,154,42,4,8,0,2,2,189,0.122
"Elias, Patrik",F,NJD,65,18,35,53,0.815384615,-4,30,26,19,4,13,2,4,1,116,0.155
"Hornqvist, Patric",F,NAS,76,22,31,53,0.697368421,1,28,77,34,7,10,0,0,6,248,0.089
"Marchand, Brad",F,BOS,82,25,28,53,0.646341463,36,64,73,23,1,1,5,0,5,149,0.168
"Subban, P.K.",D,MTL,82,10,43,53,0.646341463,-4,81,135,125,4,19,0,0,1,204,0.049
"Yandle, Keith",D,ARI,82,8,45,53,0.646341463,-23,63,22,105,3,28,0,0,2,241,0.033
"Desharnais, David",F,MTL,79,16,36,52,0.658227848,11,24,23,35,3,12,0,0,2,96,0.167
"Hartnell, Scott",F,PHI,78,20,32,52,0.666666667,11,103,155,39,9,11,0,0,3,207,0.097
"Smith, Craig",F,NAS,79,24,28,52,0.658227848,16,22,54,21,7,3,0,0,4,215,0.112
"Legwand, David",F,NAS,83,14,37,51,0.614457831,-17,61,49,38,6,13,0,0,4,146,0.096
"Moulson, Matt",F,NYI,75,23,28,51,0.68,2,34,46,43,9,10,0,0,5,176,0.131
"Smith, Reilly",F,BOS,82,20,31,51,0.62195122,28,14,63,14,6,8,0,0,3,146,0.137
"Boedker, Mikkel",F,ARI,82,19,32,51,0.62195122,-9,20,105,16,5,11,0,0,1,166,0.114
"Vrbata, Radim",F,ARI,80,20,31,51,0.6375,-6,22,68,27,10,11,0,0,2,263,0.076
"Richards, Brad",F,NYR,82,20,31,51,0.62195122,-8,18,24,43,5,14,0,0,2,259,0.077
"Wisniewski, James",D,CLB,75,7,44,51,0.68,0,61,101,73,3,25,0,0,1,166,0.042
"Pietrangelo, Alex",D,STL,81,8,43,51,0.62962963,20,32,24,164,2,16,0,1,1,164,0.049
"Carter, Jeff",F,LAK,72,27,23,50,0.694444444,8,44,68,29,8,6,1,0,5,256,0.105
"Kadri, Nazem",F,TOR,78,20,30,50,0.641025641,-11,67,141,34,7,11,0,0,2,148,0.135
